,DA Price,Net Load Forecast,System Margin,Day,Hour,Month,DA Price_24,DA Price_144,DA Price_168
2018-12-14 23:00:00,70.33,72013.0,1.0204222151837723,4,23,12,60.86000000000001,17.990000000000002,41.51
2018-12-15 00:00:00,63.43,68879.0,0.9920856871189664,5,0,12,58.620000000000005,13.630000000000003,20.94
2018-12-15 01:00:00,58.34,68054.0,1.0137571020678915,5,1,12,58.05,9.36,19.15
2018-12-15 02:00:00,52.74,64628.0,0.980994601237765,5,2,12,51.190000000000005,5.8,13.02
2018-12-15 03:00:00,51.25,62303.0,0.9525906355496844,5,3,12,50.18000000000001,1.8199999999999998,11.760000000000002
2018-12-15 04:00:00,50.81,62148.0,0.9516152609267651,5,4,12,57.09000000000002,2.4000000000000012,9.970000000000004
2018-12-15 05:00:00,51.76,64042.0,0.9723104463821678,5,5,12,69.53000000000002,2.4700000000000015,17.640000000000004
2018-12-15 06:00:00,57.15,66987.0,0.9702671152921788,5,6,12,80.93000000000004,7.9300000000000015,23.7
2018-12-15 07:00:00,67.73,69825.0,0.9789476478708719,5,7,12,90.08,10.980000000000004,29.510000000000005
2018-12-15 08:00:00,68.4,70881.0,0.976103633130411,5,8,12,88.93000000000002,22.710000000000004,29.550000000000008
2018-12-15 09:00:00,70.49,70994.0,0.9794224939629039,5,9,12,84.17000000000002,34.83,28.630000000000006
2018-12-15 10:00:00,68.93,69882.0,0.9766952685110367,5,10,12,84.33000000000001,37.15,28.12
2018-12-15 11:00:00,67.58,69701.0,0.9868548106757992,5,11,12,83.30000000000003,38.21000000000001,37.53
2018-12-15 12:00:00,63.1,68678.0,0.9898860881578604,5,12,12,81.81000000000002,31.370000000000008,39.660000000000004
2018-12-15 13:00:00,58.0,64992.0,0.9619211888019106,5,13,12,83.3,27.730000000000004,39.85
2018-12-15 14:00:00,58.72,62710.0,0.9360374414976599,5,14,12,83.04000000000002,25.770000000000007,40.05
2018-12-15 15:00:00,60.04,62042.0,0.913654089376054,5,15,12,84.84000000000002,28.920000000000012,39.35000000000001
2018-12-15 16:00:00,62.72,64393.0,0.9216915448449503,5,16,12,97.29000000000003,35.970000000000006,42.24000000000001
2018-12-15 17:00:00,69.83,67366.0,0.9410453555060232,5,17,12,90.00000000000003,47.58000000000001,46.13
2018-12-15 18:00:00,67.61,67320.0,0.9457463321816634,5,18,12,85.15000000000002,53.89,37.2
2018-12-15 19:00:00,60.78,64920.0,0.9420597818387874,5,19,12,76.52000000000001,47.56000000000002,27.640000000000008
2018-12-15 20:00:00,51.56,61968.0,0.9384901271373377,5,20,12,71.28,39.5,21.310000000000006
2018-12-15 21:00:00,60.48,60665.0,0.9071877180739707,5,21,12,69.09,40.67000000000001,24.760000000000005
2018-12-15 22:00:00,59.41,64240.0,0.9541883778136324,5,22,12,68.47000000000001,30.920000000000005,29.809999999999995
2018-12-15 23:00:00,55.19,63529.0,0.9874978640997892,5,23,12,70.33,32.43000000000001,17.990000000000002
2018-12-16 00:00:00,51.2,60492.0,1.0044762210306002,6,0,12,63.43000000000001,22.820000000000004,13.630000000000003
2018-12-16 01:00:00,49.58,58939.0,0.9966129208484867,6,1,12,58.34000000000001,14.840000000000002,9.36
2018-12-16 02:00:00,46.74,55737.0,0.9584055183813596,6,2,12,52.74000000000001,11.400000000000002,5.8
2018-12-16 03:00:00,46.0,53934.0,0.9375251914550584,6,3,12,51.25000000000001,10.710000000000008,1.8199999999999998
2018-12-16 04:00:00,46.77,53762.0,0.9342622076389675,6,4,12,50.81000000000002,28.60000000000001,2.4000000000000012
2018-12-16 05:00:00,49.11,55190.0,0.9526190975527127,6,5,12,51.76000000000001,46.45000000000001,2.4700000000000015
2018-12-16 06:00:00,50.81,56970.0,0.9668420213613901,6,6,12,57.150000000000006,64.2,7.9300000000000015
2018-12-16 07:00:00,51.6,59229.0,0.9871575207884685,6,7,12,67.73000000000002,66.22000000000001,10.980000000000004
2018-12-16 08:00:00,56.72,61605.0,0.9701725909490269,6,8,12,68.4,65.9,22.710000000000004
2018-12-16 09:00:00,57.98,64072.0,0.9682471878114766,6,9,12,70.49,64.92000000000002,34.83
2018-12-16 10:00:00,58.82,64522.0,0.9665933018378591,6,10,12,68.93,63.800000000000004,37.15
2018-12-16 11:00:00,64.44,65429.0,0.9780394564277144,6,11,12,67.58,61.100000000000016,38.21000000000001
2018-12-16 12:00:00,59.29,65093.0,0.9913364578895043,6,12,12,63.100000000000016,60.86000000000001,31.370000000000008
2018-12-16 13:00:00,57.05,62280.0,0.9730658858832613,6,13,12,58.000000000000014,61.67000000000001,27.730000000000004
2018-12-16 14:00:00,55.87,60721.0,0.9601006736249907,6,14,12,58.720000000000006,58.03000000000001,25.770000000000007
2018-12-16 15:00:00,58.45,60700.0,0.9221120312298176,6,15,12,60.04000000000001,64.65000000000002,28.920000000000012
2018-12-16 16:00:00,67.01,63272.0,0.9214743589743589,6,16,12,62.72000000000002,68.03,35.970000000000006
2018-12-16 17:00:00,71.1,66646.0,0.9498716389677071,6,17,12,69.83000000000001,69.71000000000001,47.58000000000001
2018-12-16 18:00:00,69.31,68151.0,0.9659471779058855,6,18,12,67.61,68.53,53.89
2018-12-16 19:00:00,68.07,65834.0,0.9399481315255512,6,19,12,60.78000000000001,63.81000000000001,47.56000000000002
2018-12-16 20:00:00,60.6,62367.0,0.9022780152589146,6,20,12,51.56000000000001,52.690000000000005,39.5
2018-12-16 21:00:00,66.01,60549.0,0.8783054506206153,6,21,12,60.48000000000001,53.06000000000001,40.67000000000001
2018-12-16 22:00:00,57.26,63173.0,0.9281772483881543,6,22,12,59.41,49.13000000000001,30.920000000000005
2018-12-16 23:00:00,52.08,59682.0,0.9368793713841637,6,23,12,55.19000000000001,47.19000000000001,32.43000000000001
2018-12-17 00:00:00,51.0,56986.0,0.9208605511892298,0,0,12,51.2,44.05,22.820000000000004
2018-12-17 01:00:00,49.92,56224.0,0.9165378211227403,0,1,12,49.580000000000005,47.080000000000005,14.840000000000002
2018-12-17 02:00:00,49.05,53014.0,0.8755228400521715,0,2,12,46.740000000000016,44.02000000000002,11.400000000000002
2018-12-17 03:00:00,49.47,51954.0,0.8549686660698299,0,3,12,46.00000000000002,44.430000000000014,10.710000000000008
2018-12-17 04:00:00,52.03,54507.0,0.8544925375274197,0,4,12,46.77000000000002,50.530000000000015,28.60000000000001
2018-12-17 05:00:00,65.15,60213.0,0.8622632255669994,0,5,12,49.11000000000001,59.84000000000001,46.45000000000001
2018-12-17 06:00:00,78.1,67719.0,0.9156534954407295,0,6,12,50.81000000000001,67.98,64.2
2018-12-17 07:00:00,83.7,71276.0,0.9304898285292852,0,7,12,51.600000000000016,70.78,66.22000000000001
2018-12-17 08:00:00,83.76,71607.0,0.9179963521723901,0,8,12,56.720000000000006,69.88,65.9
2018-12-17 09:00:00,82.0,71211.0,0.9145279642595506,0,9,12,57.98000000000001,68.53,64.92000000000002
2018-12-17 10:00:00,80.96,70493.0,0.9161058878763437,0,10,12,58.82000000000002,67.21,63.800000000000004
2018-12-17 11:00:00,79.02,70078.0,0.9217484111968175,0,11,12,64.44,64.62,61.100000000000016
2018-12-17 12:00:00,79.01,69589.0,0.9267328677165547,0,12,12,59.29000000000001,65.06,60.86000000000001
2018-12-17 13:00:00,79.03,68114.0,0.9173510396645116,0,13,12,57.050000000000004,65.91,61.67000000000001
2018-12-17 14:00:00,78.98,66691.0,0.8974681949867741,0,14,12,55.87,67.65000000000002,58.03000000000001
2018-12-17 15:00:00,79.05,67776.0,0.8948082284680883,0,15,12,58.45000000000001,69.93,64.65000000000002
2018-12-17 16:00:00,81.63,71146.0,0.908579534337703,0,16,12,67.01000000000002,81.36000000000001,68.03
2018-12-17 17:00:00,81.38,74740.0,0.9433620189518468,0,17,12,71.1,75.93000000000002,69.71000000000001
2018-12-17 18:00:00,79.0,76008.0,0.9838500092816038,0,18,12,69.31,70.74000000000001,68.53
2018-12-17 19:00:00,75.04,71952.0,0.9569377990430622,0,19,12,68.07,68.04000000000002,63.81000000000001
2018-12-17 20:00:00,68.15,67444.0,0.9210900535201799,0,20,12,60.60000000000002,64.07,52.690000000000005
2018-12-17 21:00:00,64.8,65037.0,0.9020551168749673,0,21,12,66.01000000000002,63.59000000000001,53.06000000000001
2018-12-17 22:00:00,58.78,67470.0,0.9449162055440367,0,22,12,57.26000000000001,57.15000000000001,49.13000000000001
2018-12-17 23:00:00,53.0,63648.0,0.920830381953904,0,23,12,52.080000000000005,54.330000000000005,47.19000000000001
2018-12-18 00:00:00,51.03,60159.0,0.907316521222579,1,0,12,51.00000000000001,48.70000000000001,44.05
2018-12-18 01:00:00,50.0,58808.0,0.9026121481312215,1,1,12,49.92000000000001,49.01000000000002,47.080000000000005
2018-12-18 02:00:00,49.04,55556.0,0.8737133177942177,1,2,12,49.050000000000004,48.280000000000015,44.02000000000002
2018-12-18 03:00:00,49.0,53804.0,0.8440750225325112,1,3,12,49.470000000000006,48.69000000000001,44.430000000000014
2018-12-18 04:00:00,50.87,55411.0,0.8418695309584042,1,4,12,52.030000000000015,52.29000000000001,50.530000000000015
2018-12-18 05:00:00,58.81,60565.0,0.859222232294324,1,5,12,65.15000000000002,66.47000000000003,59.84000000000001
2018-12-18 06:00:00,71.23,68069.0,0.9056709782223687,1,6,12,78.10000000000001,85.05000000000003,67.98
2018-12-18 07:00:00,74.63,70937.0,0.9154604523451647,1,7,12,83.7,90.12000000000003,70.78
2018-12-18 08:00:00,72.04,69980.0,0.9032356639986836,1,8,12,83.76000000000002,89.68000000000004,69.88
2018-12-18 09:00:00,69.68,68167.0,0.8954521386126963,1,9,12,82.0,86.88000000000002,68.53
2018-12-18 10:00:00,68.57,66261.0,0.8929416777125544,1,10,12,80.96000000000001,81.06000000000002,67.21
2018-12-18 11:00:00,66.12,64329.0,0.8870487310854284,1,11,12,79.02000000000001,75.95,64.62
2018-12-18 12:00:00,66.43,62575.0,0.8785616553445834,1,12,12,79.01000000000002,76.41,65.06
2018-12-18 13:00:00,66.8,60497.0,0.8615466640816227,1,13,12,79.03000000000002,79.41,65.91
2018-12-18 14:00:00,66.15,58571.0,0.8398533007334963,1,14,12,78.98000000000002,82.24000000000002,67.65000000000002
2018-12-18 15:00:00,65.87,59230.0,0.8397917023201232,1,15,12,79.05000000000001,82.18,69.93
2018-12-18 16:00:00,67.14,63210.0,0.8655437990354855,1,16,12,81.63,89.86,81.36000000000001
2018-12-18 17:00:00,67.23,67155.0,0.901739450063436,1,17,12,81.38,83.45,75.93000000000002
2018-12-18 18:00:00,67.65,68476.0,0.927013422818792,1,18,12,79.00000000000001,77.27,70.74000000000001
2018-12-18 19:00:00,65.91,64865.0,0.8977942702293618,1,19,12,75.04000000000002,69.99000000000001,68.04000000000002
2018-12-18 20:00:00,55.98,60604.0,0.8837560270626303,1,20,12,68.15,66.1,64.07
2018-12-18 21:00:00,57.43,58893.0,0.8713241014470204,1,21,12,64.80000000000001,63.45000000000001,63.59000000000001
2018-12-18 22:00:00,55.42,61469.0,0.9122081457439012,1,22,12,58.78000000000001,57.320000000000014,57.15000000000001
2018-12-18 23:00:00,53.58,58522.0,0.8950663187355499,1,23,12,53.00000000000001,56.78000000000001,54.330000000000005
2018-12-19 00:00:00,50.0,55298.0,0.8745929698588962,2,0,12,51.030000000000015,52.570000000000014,48.70000000000001
